model,row_index,explained_label,explained_label_id,feature,weight
multi_task,17576,unsafe,1,not,-0.05156107712540903
multi_task,17576,unsafe,1,discussing,-0.032574123341288015
multi_task,17576,unsafe,1,I,-0.02337886370540152
multi_task,17576,unsafe,1,topic,-0.021179838298663635
multi_task,17576,unsafe,1,interested,-0.018556164023120995
multi_task,33144,unsafe,1,t,-0.016762445366014914
multi_task,33144,unsafe,1,I,-0.013703760776836634
multi_task,33144,unsafe,1,women,0.013205458374351242
multi_task,33144,unsafe,1,who,-0.01273056755271423
multi_task,33144,unsafe,1,judge,-0.01272394031265998
multi_task,25250,unsafe,1,abortion,0.047033459877314415
multi_task,25250,unsafe,1,vote,0.04202429677793094
multi_task,25250,unsafe,1,the,0.026395238136423874
multi_task,25250,unsafe,1,value,0.025383333309082046
multi_task,25250,unsafe,1,agree,0.023434125557132618
multi_task,32313,unsafe,1,gossip,-0.05639164163297929
multi_task,32313,unsafe,1,judge,-0.0452907477000252
multi_task,32313,unsafe,1,slut,-0.03832349010338619
multi_task,32313,unsafe,1,won,-0.0349878787024405
multi_task,32313,unsafe,1,that,-0.031167452070980532
multi_task,15408,unsafe,1,ice,0.06828326292906081
multi_task,15408,unsafe,1,earth,0.05277785663738345
multi_task,15408,unsafe,1,Earth,0.052325288542980304
multi_task,15408,unsafe,1,it,0.041259929018188396
multi_task,15408,unsafe,1,idea,0.030414055138526404
