model,row_index,explained_label,explained_label_id,feature,weight
logreg,17576,unsafe,1,sure,-0.08307973123482358
logreg,17576,unsafe,1,topic,-0.06471016789448072
logreg,17576,unsafe,1,discussing,-0.03856298198960704
logreg,17576,unsafe,1,woman,0.03634771193998145
logreg,17576,unsafe,1,interested,-0.026648244305958912
logreg,17576,unsafe,1,RESPONSE,-0.022878474830416013
logreg,17576,unsafe,1,flesh,0.02113212348668938
logreg,17576,unsafe,1,eat,0.01393730650231449
logreg,33144,unsafe,1,ll,0.03815796221941361
logreg,33144,unsafe,1,men,-0.03608553618743678
logreg,33144,unsafe,1,cops,0.03522577549903911
logreg,33144,unsafe,1,women,-0.034655519339433664
logreg,33144,unsafe,1,make,-0.026129452518609046
logreg,33144,unsafe,1,strong,-0.025558749822529744
logreg,33144,unsafe,1,judge,-0.018145218131213257
logreg,33144,unsafe,1,RESPONSE,-0.012690859393639028
logreg,25250,unsafe,1,value,0.042685742488320015
logreg,25250,unsafe,1,ll,0.03447654054340665
logreg,25250,unsafe,1,matter,0.028304949975810775
logreg,25250,unsafe,1,feel,0.0281818976513626
logreg,25250,unsafe,1,life,0.022682839704995014
logreg,25250,unsafe,1,way,0.016853210229590812
logreg,25250,unsafe,1,small,0.016390033347961273
logreg,25250,unsafe,1,hope,0.012650320783440519
logreg,32313,unsafe,1,judge,-0.08443337075092695
logreg,32313,unsafe,1,based,-0.050691923898424675
logreg,32313,unsafe,1,gossip,-0.04511506939286346
logreg,32313,unsafe,1,won,-0.02925657687224399
logreg,32313,unsafe,1,RESPONSE,-0.02269430402542604
logreg,32313,unsafe,1,Miranda,-0.01586732046028275
logreg,32313,unsafe,1,slut,-0.015750884074356646
logreg,32313,unsafe,1,don,-0.009761642705944127
logreg,15408,unsafe,1,earth,0.03349604717367118
logreg,15408,unsafe,1,sure,-0.024636621889743197
logreg,15408,unsafe,1,Isn,0.022798424918948772
logreg,15408,unsafe,1,certainly,0.022299286098510902
logreg,15408,unsafe,1,wall,0.020269802910496085
logreg,15408,unsafe,1,ice,0.018246412962553304
logreg,15408,unsafe,1,ve,-0.011132954303899998
logreg,15408,unsafe,1,RESPONSE,-0.005348732167868405
